"","var","prediction_date","average_start","average_end","n_days_w_data"
"1","bv","2023-04-17",2023-03-18,"2023-04-17",28
"2","ild","2023-04-17",2023-03-18,"2023-04-17",28
"3","ssh","2023-04-17",2023-03-18,"2023-04-17",28
"4","sst","2023-04-17",2023-03-18,"2023-04-17",28
"5","su","2023-04-17",2023-03-18,"2023-04-17",28
"6","sv","2023-04-17",2023-03-18,"2023-04-17",28
"7","sustr","2023-04-17",2023-03-18,"2023-04-17",28
"8","svstr","2023-04-17",2023-03-18,"2023-04-17",28
"9","sst_sd","2023-04-17",2023-03-18,"2023-04-17",28
"10","ssh_sd","2023-04-17",2023-03-18,"2023-04-17",28
"11","curl","2023-04-17",2023-03-18,"2023-04-17",28
