"","Date","value","zone","species","metric","creation_date"
"1","2023-05-01",0.0301900114003841,"RAMP zone 3","bluewhale","Probability of presence",2023-11-13
"2","2023-05-01",0.0256349859106066,"RAMP zone 4","bluewhale","Probability of presence",2023-11-13
"3","2023-05-02",0.02651403241287,"RAMP zone 3","bluewhale","Probability of presence",2023-11-13
"4","2023-05-02",0.0145421867283997,"RAMP zone 4","bluewhale","Probability of presence",2023-11-13
"5","2023-05-03",0.0311669276241556,"RAMP zone 3","bluewhale","Probability of presence",2023-11-13
"6","2023-05-03",0.0153057138331131,"RAMP zone 4","bluewhale","Probability of presence",2023-11-13
"7","2023-05-04",0.0438421734962213,"RAMP zone 3","bluewhale","Probability of presence",2023-11-13
"8","2023-05-04",0.0179128925309939,"RAMP zone 4","bluewhale","Probability of presence",2023-11-13
"9","2023-05-05",0.0517143596123439,"RAMP zone 3","bluewhale","Probability of presence",2023-11-13
"10","2023-05-05",0.0226479147209553,"RAMP zone 4","bluewhale","Probability of presence",2023-11-13
"11","2023-05-06",0.0579835645223804,"RAMP zone 3","bluewhale","Probability of presence",2023-11-13
"12","2023-05-06",0.0311912097800493,"RAMP zone 4","bluewhale","Probability of presence",2023-11-13
"13","2023-05-07",0.0323733636509853,"RAMP zone 3","bluewhale","Probability of presence",2023-11-13
"14","2023-05-07",0.0252353414464833,"RAMP zone 4","bluewhale","Probability of presence",2023-11-13
"15","2023-05-08",0.036462198962865,"RAMP zone 3","bluewhale","Probability of presence",2023-11-13
"16","2023-05-08",0.0293107041780442,"RAMP zone 4","bluewhale","Probability of presence",2023-11-13
"17","2023-05-09",0.0413419980030803,"RAMP zone 3","bluewhale","Probability of presence",2023-11-13
"18","2023-05-09",0.029883044430797,"RAMP zone 4","bluewhale","Probability of presence",2023-11-13
"19","2023-05-10",0.0409763876849628,"RAMP zone 3","bluewhale","Probability of presence",2023-11-13
"20","2023-05-10",0.0269173608472458,"RAMP zone 4","bluewhale","Probability of presence",2023-11-13
"21","2023-05-11",0.0351199141173878,"RAMP zone 3","bluewhale","Probability of presence",2023-11-13
"22","2023-05-11",0.0265125048593748,"RAMP zone 4","bluewhale","Probability of presence",2023-11-13
"23","2023-05-12",0.0347268084542119,"RAMP zone 3","bluewhale","Probability of presence",2023-11-13
"24","2023-05-12",0.0236938607950623,"RAMP zone 4","bluewhale","Probability of presence",2023-11-13
"25","2023-05-13",0.0376766823093591,"RAMP zone 3","bluewhale","Probability of presence",2023-11-13
"26","2023-05-13",0.0241548363988192,"RAMP zone 4","bluewhale","Probability of presence",2023-11-13
"27","2023-05-14",0.0373037355819254,"RAMP zone 3","bluewhale","Probability of presence",2023-11-13
"28","2023-05-14",0.035819622761922,"RAMP zone 4","bluewhale","Probability of presence",2023-11-13
"29","2023-05-15",0.0462810935039768,"RAMP zone 3","bluewhale","Probability of presence",2023-11-13
"30","2023-05-15",0.0391373975711544,"RAMP zone 4","bluewhale","Probability of presence",2023-11-13
"31","2023-05-16",0.0528504690425506,"RAMP zone 3","bluewhale","Probability of presence",2023-11-13
"32","2023-05-16",0.0370402210834093,"RAMP zone 4","bluewhale","Probability of presence",2023-11-13
"33","2023-05-17",0.050143432442315,"RAMP zone 3","bluewhale","Probability of presence",2023-11-13
"34","2023-05-17",0.0364619611782279,"RAMP zone 4","bluewhale","Probability of presence",2023-11-13
"35","2023-05-18",0.0577367454917554,"RAMP zone 3","bluewhale","Probability of presence",2023-11-13
"36","2023-05-18",0.0373027229044471,"RAMP zone 4","bluewhale","Probability of presence",2023-11-13
"37","2023-05-19",0.028667852758168,"RAMP zone 3","bluewhale","Probability of presence",2023-11-13
"38","2023-05-19",0.0385075148344406,"RAMP zone 4","bluewhale","Probability of presence",2023-11-13
"39","2023-05-20",0.0293854362052991,"RAMP zone 3","bluewhale","Probability of presence",2023-11-13
"40","2023-05-20",0.0349588693964025,"RAMP zone 4","bluewhale","Probability of presence",2023-11-13
"41","2023-05-21",0.027434559712776,"RAMP zone 3","bluewhale","Probability of presence",2023-11-13
"42","2023-05-21",0.026063280828288,"RAMP zone 4","bluewhale","Probability of presence",2023-11-13
"43","2023-05-22",0.0242692062262479,"RAMP zone 3","bluewhale","Probability of presence",2023-11-13
"44","2023-05-22",0.0227236833481298,"RAMP zone 4","bluewhale","Probability of presence",2023-11-13
"45","2023-05-23",0.0312853975821648,"RAMP zone 3","bluewhale","Probability of presence",2023-11-13
"46","2023-05-23",0.0251503733265688,"RAMP zone 4","bluewhale","Probability of presence",2023-11-13
"47","2023-05-24",0.0308457430458568,"RAMP zone 3","bluewhale","Probability of presence",2023-11-13
"48","2023-05-24",0.0236244638825412,"RAMP zone 4","bluewhale","Probability of presence",2023-11-13
"49","2023-05-25",0.0291009608830571,"RAMP zone 3","bluewhale","Probability of presence",2023-11-13
"50","2023-05-25",0.0225119463453121,"RAMP zone 4","bluewhale","Probability of presence",2023-11-13
"51","2023-05-26",0.0310211345347286,"RAMP zone 3","bluewhale","Probability of presence",2023-11-13
"52","2023-05-26",0.0231285168767987,"RAMP zone 4","bluewhale","Probability of presence",2023-11-13
"53","2023-05-27",0.0386133053587235,"RAMP zone 3","bluewhale","Probability of presence",2023-11-13
"54","2023-05-27",0.0259352462238948,"RAMP zone 4","bluewhale","Probability of presence",2023-11-13
"55","2023-05-28",0.0381453378539424,"RAMP zone 3","bluewhale","Probability of presence",2023-11-13
"56","2023-05-28",0.0265983838428714,"RAMP zone 4","bluewhale","Probability of presence",2023-11-13
"57","2023-05-29",0.037225330222344,"RAMP zone 3","bluewhale","Probability of presence",2023-11-13
"58","2023-05-29",0.0244101802067779,"RAMP zone 4","bluewhale","Probability of presence",2023-11-13
"59","2023-05-30",0.0413088640060116,"RAMP zone 3","bluewhale","Probability of presence",2023-11-13
"60","2023-05-30",0.0303281701475522,"RAMP zone 4","bluewhale","Probability of presence",2023-11-13
"61","2023-05-31",0.0448875162655941,"RAMP zone 3","bluewhale","Probability of presence",2023-11-13
"62","2023-05-31",0.0399954689536305,"RAMP zone 4","bluewhale","Probability of presence",2023-11-13
"63","2023-06-01",0.034614498624261,"RAMP zone 3","bluewhale","Probability of presence",2023-11-13
"64","2023-06-01",0.0355257416515933,"RAMP zone 4","bluewhale","Probability of presence",2023-11-13
"65","2023-06-02",0.0298710771672508,"RAMP zone 3","bluewhale","Probability of presence",2023-11-13
"66","2023-06-02",0.0277373917544117,"RAMP zone 4","bluewhale","Probability of presence",2023-11-13
"67","2023-06-03",0.0749241293186009,"RAMP zone 3","bluewhale","Probability of presence",2023-11-13
"68","2023-06-03",0.0660055835720658,"RAMP zone 4","bluewhale","Probability of presence",2023-11-13
"69","2023-06-04",0.073940553510982,"RAMP zone 3","bluewhale","Probability of presence",2023-11-13
"70","2023-06-04",0.0659862968646929,"RAMP zone 4","bluewhale","Probability of presence",2023-11-13
"71","2023-06-05",0.0742616334854899,"RAMP zone 3","bluewhale","Probability of presence",2023-11-13
"72","2023-06-05",0.0741643211766224,"RAMP zone 4","bluewhale","Probability of presence",2023-11-13
"73","2023-06-06",0.0745909925712294,"RAMP zone 3","bluewhale","Probability of presence",2023-11-13
"74","2023-06-06",0.0765136342187779,"RAMP zone 4","bluewhale","Probability of presence",2023-11-13
"75","2023-06-07",0.0774757560967347,"RAMP zone 3","bluewhale","Probability of presence",2023-11-13
"76","2023-06-07",0.0897994133492904,"RAMP zone 4","bluewhale","Probability of presence",2023-11-13
"77","2023-06-08",0.0714023598325339,"RAMP zone 3","bluewhale","Probability of presence",2023-11-13
"78","2023-06-08",0.0710169852218925,"RAMP zone 4","bluewhale","Probability of presence",2023-11-13
"79","2023-06-09",0.0787256593248733,"RAMP zone 3","bluewhale","Probability of presence",2023-11-13
"80","2023-06-09",0.0870058815590976,"RAMP zone 4","bluewhale","Probability of presence",2023-11-13
"81","2023-06-10",0.13274278426907,"RAMP zone 3","bluewhale","Probability of presence",2023-11-13
"82","2023-06-10",0.123550516728513,"RAMP zone 4","bluewhale","Probability of presence",2023-11-13
"83","2023-06-11",0.14770060100723,"RAMP zone 3","bluewhale","Probability of presence",2023-11-13
"84","2023-06-11",0.124711810088367,"RAMP zone 4","bluewhale","Probability of presence",2023-11-13
"85","2023-06-12",0.133588801456373,"RAMP zone 3","bluewhale","Probability of presence",2023-11-13
"86","2023-06-12",0.110738350776574,"RAMP zone 4","bluewhale","Probability of presence",2023-11-13
"87","2023-06-13",0.11108840965815,"RAMP zone 3","bluewhale","Probability of presence",2023-11-13
"88","2023-06-13",0.126329957335309,"RAMP zone 4","bluewhale","Probability of presence",2023-11-13
"89","2023-06-14",0.117277373443504,"RAMP zone 3","bluewhale","Probability of presence",2023-11-13
"90","2023-06-14",0.156040070267507,"RAMP zone 4","bluewhale","Probability of presence",2023-11-13
"91","2023-06-15",0.125802245979934,"RAMP zone 3","bluewhale","Probability of presence",2023-11-13
"92","2023-06-15",0.154248289398105,"RAMP zone 4","bluewhale","Probability of presence",2023-11-13
"93","2023-06-16",0.1366883599978,"RAMP zone 3","bluewhale","Probability of presence",2023-11-13
"94","2023-06-16",0.136955114932039,"RAMP zone 4","bluewhale","Probability of presence",2023-11-13
"95","2023-06-17",0.169989721140205,"RAMP zone 3","bluewhale","Probability of presence",2023-11-13
"96","2023-06-17",0.182722723916319,"RAMP zone 4","bluewhale","Probability of presence",2023-11-13
"97","2023-06-18",0.164960307241764,"RAMP zone 3","bluewhale","Probability of presence",2023-11-13
"98","2023-06-18",0.181331619147803,"RAMP zone 4","bluewhale","Probability of presence",2023-11-13
"99","2023-06-19",0.182331329613248,"RAMP zone 3","bluewhale","Probability of presence",2023-11-13
"100","2023-06-19",0.176356781054587,"RAMP zone 4","bluewhale","Probability of presence",2023-11-13
"101","2023-06-20",0.157578283134016,"RAMP zone 3","bluewhale","Probability of presence",2023-11-13
