"","Date","value","zone","species","metric","creation_date"
"1","2023-05-01",8.03742901668992,"RAMP zone 3","epac","CPUE",2023-11-13
"2","2023-05-01",8.81331162841952,"RAMP zone 4","epac","CPUE",2023-11-13
"3","2023-05-02",8.08543218654949,"RAMP zone 3","epac","CPUE",2023-11-13
"4","2023-05-02",8.79049634665859,"RAMP zone 4","epac","CPUE",2023-11-13
"5","2023-05-03",7.90066396046516,"RAMP zone 3","epac","CPUE",2023-11-13
"6","2023-05-03",8.64473495556384,"RAMP zone 4","epac","CPUE",2023-11-13
"7","2023-05-04",7.77174117780009,"RAMP zone 3","epac","CPUE",2023-11-13
"8","2023-05-04",8.52488938107783,"RAMP zone 4","epac","CPUE",2023-11-13
"9","2023-05-05",7.58298105018777,"RAMP zone 3","epac","CPUE",2023-11-13
"10","2023-05-05",8.45653642610628,"RAMP zone 4","epac","CPUE",2023-11-13
"11","2023-05-06",7.46917422765563,"RAMP zone 3","epac","CPUE",2023-11-13
"12","2023-05-06",8.45707537981929,"RAMP zone 4","epac","CPUE",2023-11-13
"13","2023-05-07",7.48384279679767,"RAMP zone 3","epac","CPUE",2023-11-13
"14","2023-05-07",8.51298129947818,"RAMP zone 4","epac","CPUE",2023-11-13
"15","2023-05-08",7.4428787950513,"RAMP zone 3","epac","CPUE",2023-11-13
"16","2023-05-08",8.53354142588012,"RAMP zone 4","epac","CPUE",2023-11-13
"17","2023-05-09",7.425677828664,"RAMP zone 3","epac","CPUE",2023-11-13
"18","2023-05-09",8.5291022675378,"RAMP zone 4","epac","CPUE",2023-11-13
"19","2023-05-10",7.42596396318702,"RAMP zone 3","epac","CPUE",2023-11-13
"20","2023-05-10",8.47096379922361,"RAMP zone 4","epac","CPUE",2023-11-13
"21","2023-05-11",7.3702540702598,"RAMP zone 3","epac","CPUE",2023-11-13
"22","2023-05-11",8.413869752446,"RAMP zone 4","epac","CPUE",2023-11-13
"23","2023-05-12",7.43022085968838,"RAMP zone 3","epac","CPUE",2023-11-13
"24","2023-05-12",8.40222796469319,"RAMP zone 4","epac","CPUE",2023-11-13
"25","2023-05-13",7.40311232365148,"RAMP zone 3","epac","CPUE",2023-11-13
"26","2023-05-13",8.4107558841608,"RAMP zone 4","epac","CPUE",2023-11-13
"27","2023-05-14",7.41901500488436,"RAMP zone 3","epac","CPUE",2023-11-13
"28","2023-05-14",8.40345392665085,"RAMP zone 4","epac","CPUE",2023-11-13
"29","2023-05-15",7.43197771785564,"RAMP zone 3","epac","CPUE",2023-11-13
"30","2023-05-15",8.37561089700582,"RAMP zone 4","epac","CPUE",2023-11-13
"31","2023-05-16",7.41958936784676,"RAMP zone 3","epac","CPUE",2023-11-13
"32","2023-05-16",8.36688330562747,"RAMP zone 4","epac","CPUE",2023-11-13
"33","2023-05-17",7.4570180878563,"RAMP zone 3","epac","CPUE",2023-11-13
"34","2023-05-17",8.36092608948143,"RAMP zone 4","epac","CPUE",2023-11-13
"35","2023-05-18",7.45751931986143,"RAMP zone 3","epac","CPUE",2023-11-13
"36","2023-05-18",8.36819360998212,"RAMP zone 4","epac","CPUE",2023-11-13
"37","2023-05-19",7.44424113670234,"RAMP zone 3","epac","CPUE",2023-11-13
"38","2023-05-19",8.42846628223755,"RAMP zone 4","epac","CPUE",2023-11-13
"39","2023-05-20",7.44034694273804,"RAMP zone 3","epac","CPUE",2023-11-13
"40","2023-05-20",8.45968029304426,"RAMP zone 4","epac","CPUE",2023-11-13
"41","2023-05-21",7.49414565119632,"RAMP zone 3","epac","CPUE",2023-11-13
"42","2023-05-21",8.47975684331388,"RAMP zone 4","epac","CPUE",2023-11-13
"43","2023-05-22",7.5985870661084,"RAMP zone 3","epac","CPUE",2023-11-13
"44","2023-05-22",8.50410557887992,"RAMP zone 4","epac","CPUE",2023-11-13
"45","2023-05-23",7.62794497661119,"RAMP zone 3","epac","CPUE",2023-11-13
"46","2023-05-23",8.50931911541491,"RAMP zone 4","epac","CPUE",2023-11-13
"47","2023-05-24",7.64892262731527,"RAMP zone 3","epac","CPUE",2023-11-13
"48","2023-05-24",8.49854851000163,"RAMP zone 4","epac","CPUE",2023-11-13
"49","2023-05-25",7.66261390960494,"RAMP zone 3","epac","CPUE",2023-11-13
